2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.031,0.025,0.019,0.033,0.021,0.046,0.026,0.079,0.015,0.078
0.028,0.041,0.028,0.047,0.031,0.045,0.018,0.080,0.021,0.071
0.026,0.057,0.019,0.024,0.029,0.042,0.034,0.043,0.031,0.073
0.040,0.055,0.015,0.034,0.016,0.051,0.025,0.042,0.025,0.075
0.043,0.057,0.033,0.051,0.021,0.050,0.038,0.049,0.019,0.076
0.031,0.062,0.040,0.020,0.025,0.050,0.038,0.065,0.017,0.075
0.054,0.068,0.031,0.020,0.021,0.062,0.067,0.077,0.021,0.076
0.054,0.081,0.026,0.026,0.019,0.047,0.047,0.051,0.022,0.077
0.039,0.053,0.015,0.038,0.034,0.037,0.063,0.057,0.019,0.074
0.019,0.061,0.016,0.032,0.026,0.045,0.029,0.039,0.029,0.072
0.021,0.078,0.018,0.031,0.036,0.040,0.029,0.049,0.023,0.060
0.038,0.071,0.015,0.051,0.025,0.038,0.028,0.033,0.019,0.067
0.051,0.037,0.018,0.039,0.023,0.041,0.023,0.025,0.020,0.073
0.052,0.038,0.012,0.040,0.017,0.047,0.034,0.025,0.023,0.066
0.062,0.040,0.017,0.037,0.020,0.058,0.041,0.021,0.021,0.083
0.030,0.053,0.014,0.022,0.013,0.057,0.050,0.016,0.025,0.081
0.050,0.064,0.012,0.025,0.015,0.052,0.053,0.028,0.023,0.079
0.065,0.054,0.003,0.031,0.015,0.060,0.040,0.025,0.022,0.087
0.029,0.035,0.008,0.035,0.017,0.038,0.024,0.016,0.022,0.153
0.043,0.025,0.010,0.031,0.012,0.039,0.022,0.016,0.021,0.113
0.045,0.041,0.017,0.026,0.015,0.046,0.024,0.016,0.020,0.143
0.054,0.051,0.017,0.023,0.019,0.055,0.030,0.018,0.018,0.084
0.060,0.076,0.017,0.026,0.017,0.045,0.022,0.020,0.024,0.052
0.068,0.062,0.020,0.029,0.021,0.044,0.025,0.019,0.026,0.072
0.063,0.058,0.020,0.022,0.017,0.040,0.032,0.043,0.021,0.088
0.050,0.103,0.022,0.029,0.017,0.040,0.033,0.051,0.019,0.099
0.040,0.073,0.018,0.016,0.017,0.059,0.027,0.040,0.019,0.118
0.027,0.062,0.011,0.013,0.020,0.034,0.015,0.042,0.020,0.116
0.019,0.037,0.011,0.023,0.025,0.031,0.024,0.039,0.020,0.105
0.018,0.032,0.009,0.026,0.022,0.022,0.021,0.046,0.018,0.063
0.014,0.048,0.012,0.038,0.012,0.024,0.029,0.049,0.020,0.053
0.039,0.057,0.012,0.042,0.014,0.018,0.028,0.062,0.020,0.057
0.033,0.085,0.016,0.046,0.016,0.024,0.080,0.058,0.019,0.065
